C.1.8.11,C.2.8.11,N.2.8.11,N.3.8.11,NF.3.8.11,NP.3.8.11,NPF.1.8.11,NPF.2.8.11,NPF.3.8.11,P.1.8.11,P.2.8.11,P.3.8.11,PF.1.8.11,PF.2.8.11,PF.3.8.11,Tote.1.8.9,Tote.2.8.9,Tote.3.8.9,Tote.4.8.9,C.2.8.20,C.3.8.20,F.1.8.20,F.2.8.20,F.3.8.20,N.1.8.20,N.2.8.20,N.3.8.20,NF.1.8.20,NF.2.8.20,NF.3.8.20,NP.1.8.20,NP.2.8.20,NP.3.8.20,NPF.1.8.20,NPF.2.8.20,NPF.3.8.20,P.1.8.20,P.2.8.20,P.3.8.20,PF.1.8.20,PF.2.8.20,PF.3.8.20,C.2.8.27,C.3.8.27,F.1.8.27,F.2.8.27,F.3.8.27,N.3.8.27,NF.1.8.27,NF.2.8.27,NF.3.8.27,NP.1.8.27,NP.3.8.27,NPF.1.8.27,NPF.3.8.27,P.1.8.27,P.2.8.27,P.3.8.27,PF.1.8.27,PF.2.8.27,PF.3.8.27,C.1.9.3,C.2.9.3,C.3.9.3,F.1.9.3,F.2.9.3,F.3.9.3,N.1.9.3,N.2.9.3,NF.1.9.3,NF.2.9.3,NF.3.9.3,NP.1.9.3,NP.2.9.3,NP.3.9.3,NPF.2.9.3,NPF.3.9.3,P.1.9.3,P.2.9.3,PF.1.9.3,PF.2.9.3,PF.3.9.3,C.1.9.7,C.3.9.7,F.1.9.7,F.2.9.7,F.3.9.7,N.1.9.7,N.2.9.7,N.3.9.7,NF.1.9.7,NF.2.9.7,NF.3.9.7,NP.2.9.7,NPF.1.9.7,NPF.2.9.7,NPF.3.9.7,NPF.4.9.7,P.1.9.7,P.2.9.7,P.3.9.7,PF.1.9.7,PF.2.9.7,PF.3.9.7,C.1.9.8,C.3.9.8,F.1.9.8,F.2.9.8,F.3.9.8,N.1.9.8,N.2.9.8,N.3.9.8,NF.1.9.8,NF.2.9.8,NF.3.9.8,NP.1.9.8,NP.3.9.8,NP.4.9.8,NPF.1.9.8,NPF.2.9.8,NPF.3.9.8,P.1.9.8,P.3.9.8,PF.1.9.8,PF.3.9.8,C.1.8.27,C.2.9.7,C.2.9.8,F.1.8.11,F.3.8.11,N.1.8.11,N.1.8.27,N.2.8.27,N.3.9.3,NF.2.8.11,NP.2.8.27,NP.2.9.8,NPF.1.9.3,PF.2.9.8,Feature.ID,Taxon,Group
0,0.009049774,0.021716649,0.045016077,0.019301471,0.026548673,0.073873874,0.052224371,0.023316062,0.010460251,0,0,0.010903427,0,0,0,0,0,0,0,0,0,0.008714597,0,0,0.182427901,0.048523207,0.048797018,0.054647887,0.099164134,0.023708721,0.297554073,0.126676602,0.170995114,0,0.344866071,0.014388489,0,0,0.012195122,0,0,0,0,0.012717537,0,0,0.055077453,0.099375,0.15747331,0.010471204,0.053478086,0.478787879,0.532536521,0.267819337,0.003472222,0.001848856,0.001079292,0.019480519,0,0.00240481,0.001181335,0.00096401,0.013651877,0,0.009497207,0,0.059836179,0.027991218,0.493972526,0.691146881,0.148913043,0.701147776,0.883114187,0.727185705,0.677593593,0.742959856,0,0.002145923,0,0,0,0.022310976,0.003256513,0.008412198,0.013376137,0.012457255,0.128611047,0.038645314,0.045581033,0.78576181,0.910806697,0.431041181,0.160606061,0.683737919,0.145226356,0.86963434,0.660833886,0.006547619,0.006692694,0.002066116,0.007252998,0.017043694,0,0.00217009,0,0,0,0,0.052577823,0.012072435,0.027181208,0.220594571,0.018779343,0.296284224,0.162464165,0.165679712,0.080987029,0.561363636,0.001100917,0.212873768,0,0.000518202,0,0,0.05388601,0.006577066,0.002414811,0.039215686,0,0.016949153,0.02018018,0.024098145,0.084289497,0.018115942,0.723266878,0.111564626,0.662373737,0,7459fc6907035cfc211c8947236f98e7,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pseudo-nitzschia;Pseudo-nitzschia_sp.;,Diatom
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093975904,0,0,0.15125136,0.09926224,0.122362869,0.181633345,0.342535211,0.091945289,0.373412362,0.089144936,0.119225037,0.345075855,0.445995146,0.135044643,0,0,0,0.018292683,0.003601441,0,0,0,0,0,0,0.115318417,0.112375,0.174377224,0.163350785,0.607425278,0.112727273,0.240371846,0.145642202,0,0,0,0.005312869,0,0,0,0,0,0,0,0,0.108843537,0.046652031,0.04737875,0.113011402,0.24701087,0.020946915,0.014809689,0.029249096,0.001117527,0.057968844,0,0,0,0,0,0.00991599,0,0.001652396,0,0,0.057950081,0.057705434,0.009516919,0.023785762,0.030136986,0.212315462,0.012626263,0,0.170327208,0.018600954,0.000482713,0,0,0,0,0,0,0.003068059,0,0,0,0,0.023935343,0,0.002432886,0.007994638,0,0.045632334,0.005886475,0.177587539,0.005536223,0.001683502,0,0.007739852,0,0,0.001350986,0,0.034196891,0,0,0,0,0,0.192792793,0.114356653,0.027802295,0,0.048028999,0,0.001313131,0,34a6d194f7edb1db814a1e34969fd38a,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pseudo-nitzschia,Diatom
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013057671,0.008718981,0,0,0.009014085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010327022,0,0.025800712,0.003141361,0.000938212,0.002181818,0,0.004322512,0,0,0,0,0,0,0,0,0,0,0,0,0.142162988,0.174807903,0,0.004694836,0.002173913,0,0,0.002020847,0,0.004643499,0.000360555,0.001788269,0,0,0,0.003580774,0,0.000450653,0.001070091,0.002931119,0.218049457,0.142819638,0.43588602,0,0.001887367,0,0,0.000380489,0,0.00572337,0,0,0,0,0,0,0,0,0,0.001289768,0,0,0.2071584,0.084507042,0.349077181,0.001484035,0.090055484,0.021838331,0.000420463,0.003733265,0,0.004587542,0.004220183,0.027173005,0,0.000647752,0,0,0,0,0,0,0,0,0.032072072,0.083832335,0.098852604,0,0,0,0,0,a22d3b026aecaef856cfe91d45aa3231,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros,Diatom
0,0,0,0,0,0,0.018018018,0,0,0,0,0,0,0,0,0,0.002284409,0,0,0,0,0,0,0,0.021762786,0.07444668,0,0.002710945,0.006760563,0.035334347,0,0.001819284,0,0.004885575,0.014563107,0,0,0,0,0.006097561,0,0,0.004664179,0,0.012048193,0,0.003215434,0.013769363,0.016875,0.003113879,0.007329843,0.021176786,0.002909091,0.024236388,0.02196542,0.003472222,0,0.000431717,0.005312869,0.002594034,0,0,0.014781491,0.008532423,0.01055409,0.005027933,0.006383778,0.004859086,0.004665203,0.022988506,0.002012072,0.029891304,0.066284075,0.000622837,0.003935333,0.023405973,0.006590773,0.011537768,0.006795422,0,0.006818957,0.003862868,0,0.006262525,0.010515247,0.004815409,0.001709819,0.002831061,0.002625361,0.001947907,0.005489022,0.001035008,0.020590521,0,0.020241991,0.096145226,0.004610493,0.023109878,0.010119048,0.0091095,0,0.00256996,0.016423923,0,0.043139896,0.013457225,0.002364574,0.058603491,0.026841171,0.010435632,0,0.007802013,0.024414764,0,0.013363755,0.171790788,0.047373841,0.019297691,0.088804714,0.004036697,0.020769531,0.029069767,0.006347973,0.060118887,0.001406774,0.034196891,0.01887332,0.015562114,0,0,0.006355932,0.003963964,0.01139185,0.038393645,0.00634058,0.000792932,0,0.022828283,0,3fc30a00536c85cd5269ec8c1e96db1a,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Cylindrotheca;Cylindrotheca_closterium;,Diatom
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004267425,0.007228916,0,0,0.186071817,0.022132797,0.035864979,0.032870213,0.089577465,0.011778116,0.066892464,0.002829998,0.006706408,0.034456158,0.072512136,0.015625,0.011990408,0,0,0.009485095,0,0,0,0,0,0,0.001169249,0.134251291,0.233375,0.117882562,0.147120419,0.005227181,0.041090909,0,0.041637262,0,0.000924428,0,0.002951594,0,0.002805611,0,0,0,0,0,0,0.051367486,0.464599341,0.120829829,0.002682763,0.020652174,0,0.002975779,0.006381621,0,0.003145596,0,0,0,0,0,0,0,0,0,0,0.002599954,0.447729063,0.168076581,0.01164338,0.000365297,0.003885004,0.003030303,0.000380489,0,0.00127186,0,0,0,0,0.000456882,0,0,0,0,0,0,0,0.002797638,0,0.118036913,0.004499976,0,0.004237288,0,0.003153965,0.002530845,0,0,0.002060248,0,0.000518202,0,0,0.005181347,0,0,0,0,0,0.321441441,0.238498613,0.244042365,0,0.031037608,0,0,0,94ac2f486026d4b4c0b841efbfd829ff,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Bacteriastrum;Bacteriastrum_parallelum;,Diatom
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009503696,0.021337127,0.014457831,0,0.034848485,0.018498368,0.016096579,0.021097046,0.049813623,0,0.042173252,0,0.029512836,0.071535022,0,0,0.079241071,0.033573141,0.007961783,0,0,0.019207683,0.016632017,0.093283582,0.047067901,0,0,0.19760304,0.123924269,0.008125,0.00088968,0,0,0,0.002656042,0,0.100694444,0.553270164,0.000215858,0,0.20233463,0.077755511,0,0.019922879,0.003981797,0,0.13575419,0.06759294,0.001110648,0,0,0.005030181,0,0,0.000207612,0.003403531,0.090643819,0.000599161,0.232017307,0.583690987,0.148456057,0.360040914,0.272332207,0.320341551,0.000501002,0,0.243980738,0,0,0.000525072,0.005676759,0,0.003165906,0,0,0.001750247,0.021066786,0.002861685,0.001810173,0.17827381,0.623350065,0,0.00262707,0.12643322,0.252880184,0.006921839,0,0,0.003854001,0,0,0,0.003439597,0,0.003414426,0,0,0,0,0.000799663,0,0.001225013,0.003059976,0,0,0,0,0.003717472,0,0,0,0,0,0.001314444,0.115622242,0,0.030584504,0.078911565,0.145353535,0,ec99e8b9aefbb55ac23674b3b86d017c,Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales;Pyramimonadales_X;Pyramimonadales_XX,Chlorophyte
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001865672,0,0,0,0,0,0.000375,0,0,0.000804182,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001048532,0.003244997,0,0.007125891,0.001022844,0,0,0,0.018777227,0,0.004640938,0,0,0,0,0,0,0,0,0,0.000476948,0,0,0,0,0.005996573,0,0.091301843,0.278183111,0.028196091,0.013972485,0.027091363,0,0.006661042,0.016096579,0.002097315,0,0,0.021512386,0.001312353,0,0.05014236,0,0.038899083,0.410936021,0.051407589,0,0.331667117,0.046315334,0,0.002859594,0.004561309,0,0,0,0,0,0,0,0,0,0,0.010432191,0e2cd233a6a40c1cee8ee886550df0be,Eukaryota;Alveolata;Ciliophora;Spirotrichea;Euplotia;Euplotidae;Euplotes;Euplotes_raikovi;,Ciliate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023939064,0.012072435,0,0.005421891,0,0.008358663,0,0.004851425,0.008196721,0.001799949,0,0.016741071,0,0,0,0,0,0,0,0,0,0,0.002338498,0.025817556,0.004,0,0,0.000402091,0.009818182,0.000996016,0.032198306,0,0.001155535,0.588645848,0.010035419,0,0,0.575113211,0.003213368,0.010238908,0,0,0.005632745,0.002221297,0,0.002242781,0.000335345,0,0.000860832,0.001453287,0.008402468,0,0.017825045,0.004687218,0,0,0,0,0.002478997,0.003006012,0.001201743,0,0,0,0.001102652,0.003394924,0.001330672,0,0.000777001,0,0.000228293,0.000672344,0.005882353,0,0,0,0.461570248,0.008452313,0,0,0.026564897,0.017622557,0.002794497,0.015416005,0.005323869,0.000621697,0,0.00511745,0.002010628,0,0.022164276,0.002395362,0.002896498,0.008225245,0.003872054,0,0.02121499,0.013157895,0.277108434,0.010402594,0.000432854,0,0.002287675,0.005634559,0,0,0,0.003963964,0.005111728,0.022065313,0,0.005210693,0,0,0,07b5acf2d883e9e535db93642104717e,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Nitzschia,Diatom
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026215805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028549383,0.020749665,0,0,0,0.002375,0,0.003403141,0.022383059,0,0.012948207,0.001411433,0,0,0,0,0,0,0,0,0,0,0.015083799,0.011641006,0.019436346,0.007683864,0.011494253,0,0.075543478,0.032137733,0.00083045,0,0.024585584,0.000898742,0,0,0.011876485,0,0,0,0.00501002,0,0.007490637,0.013434294,0.015599723,0.006458388,0,0.003493014,0,0.039238539,0.008585859,0.168708622,0,0.002225755,0.160743378,0.004464286,0,0,0,0.004958165,0.004896313,0,0.010253124,0,0.003854001,0.004880213,0.030996048,0,0,0.001436163,0,0,0.070357393,0.107749743,0,0.055260943,0,0.006848934,0.002753978,0,0,0.002705335,0,0.005147269,0.070566139,0,0,0,0,0.002482839,0,0,0,0,0.013888889,0,a73af50103bcf9ae71f3e1951dcb0b0b,Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium_veneficum;,Dinoflagellate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077257889,0,0,0.162656727,0.062535211,0,0.048264183,0.065494239,0.06780924,0.108511185,0.098300971,0.056919643,0,0,0,0,0,0,0,0,0,0,0,0,0.1445,0.03113879,0.060994764,0.045838359,0.144727273,0.055776892,0.079569513,0,0,0,0,0,0,0,0,0,0,0,0,0.054699431,0,0.111578357,0.057008719,0.063586957,0,0.014394464,0.025951925,0,0.043738766,0,0,0,0,0,0,0,0,0,0,0.021492951,0.015174587,0,0.05405855,0.016255708,0.10003885,0,0,0.034737786,0,0,0,0,0,0,0,0,0.002057844,0,0,0.001700295,0,0.036324881,0,0.007466443,0.084350615,0,0.025749674,0,0.136585994,0.00790889,0,0,0.013029679,0,0,0,0,0,0,0,0,0,0,0.104864865,0.029209873,0,0,0.052106932,0,0,0,32a8e7c381f339a0d55d3197c86c9612,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pseudo-nitzschia;Pseudo-nitzschia_sp.;,Diatom
